Hail ID,Date/Time,Latitude,Longitude,Hail size,
395,1991-03-15 07:45:00,-36.2333,149.1333,3.0,
396,1991-03-20 08:00:00,-32.0167,151.9667,2.5,
397,1991-09-26 05:15:00,-33.6667,151.3167,3.0,
398,1991-10-25 02:00:00,-33.2833,151.4333,0.0,
399,1991-10-31 06:30:00,-28.9834,149.0000,2.2,
400,1991-11-08 07:00:00,-35.2667,150.5000,2.7,
401,1991-11-20 03:45:00,-33.7333,151.2333,4.0,
402,1991-11-29 03:00:00,-33.7667,151.3167,2.0,
403,1991-11-30 05:00:00,-28.2500,153.6000,4.0,
404,1991-12-18 06:25:00,-29.2833,152.9834,4.2,
405,1991-12-20 07:00:00,-32.1667,151.5833,4.2,
406,1991-12-21 00:15:00,-29.9334,151.7333,4.0,
407,1991-12-21 01:30:00,-29.7667,151.2333,4.2,
408,1991-12-21 04:05:00,-28.3667,153.2000,14.0,
409,1991-12-21 04:25:00,-32.8000,149.0833,4.2,
410,1991-12-21 14:00:00,-28.2667,153.6000,6.3,
411,1991-12-28 14:00:00,-29.5667,151.8667,4.2,
412,1991-12-29 14:00:00,-29.3167,151.1000,7.0,
413,1991-12-30 12:40:00,-29.4667,149.8500,4.2,
414,1992-01-03 08:00:00,-33.7000,150.5667,2.5,
415,1992-01-03 08:14:00,-33.6167,150.8167,4.2,
416,1992-01-04 06:45:00,-28.2500,153.6000,5.0,
417,1992-01-07 14:00:00,-29.5833,152.7333,9.0,
418,1992-01-07 14:00:00,-29.4667,153.2000,7.0,
419,1992-01-21 08:30:00,-31.2667,149.2833,2.2,
420,1992-01-22 07:00:00,-30.6500,151.5000,3.0,
421,1992-02-12 06:44:00,-33.8000,150.9500,7.5,
422,1992-02-22 04:15:00,-33.6000,151.2167,2.5,
423,1992-02-22 09:00:00,-30.6500,151.5000,3.0,
424,1992-03-03 14:00:00,-32.2500,148.6167,3.0,
425,1992-03-22 05:00:00,-30.1667,151.0667,3.4,
426,1992-10-04 05:10:00,-31.2667,149.2833,2.2,
427,1992-10-26 03:30:00,-29.6833,152.9334,4.2,
428,1992-10-27 14:00:00,-32.6000,149.5833,2.0,
429,1992-10-28 06:30:00,-33.2000,149.4500,5.0,
430,1992-10-28 07:55:00,-33.2000,149.4333,4.5,
431,1992-11-02 07:15:00,-31.3167,152.4500,2.0,
432,1992-11-03 07:00:00,-31.4500,151.1167,3.0,
433,1992-11-04 03:27:00,-31.1833,151.0833,4.2,
434,1992-11-04 08:15:00,-34.0500,150.8333,2.0,
435,1992-11-18 07:45:00,-32.2333,148.2500,2.0,
436,1992-11-19 06:00:00,-31.9667,141.4500,4.2,
437,1992-11-19 06:50:00,-30.9834,144.2333,5.0,
438,1992-11-20 02:25:00,-33.7667,150.6167,5.0,
439,1992-11-20 03:00:00,-33.6000,150.7500,5.0,
440,1992-11-20 04:50:00,-32.8334,151.3500,3.7,
441,1992-11-24 04:30:00,-35.3500,150.4833,3.0,
442,1992-11-25 02:00:00,-29.5667,152.1500,2.0,
443,1992-11-25 03:15:00,-29.6833,152.9334,4.2,
444,1992-11-28 14:00:00,-33.7167,150.6000,3.0,
445,1992-11-29 11:45:00,-29.6833,152.4333,4.2,
446,1992-12-04 04:45:00,-31.7000,147.8333,4.2,
447,1992-12-04 14:00:00,-33.8000,151.1000,2.0,
448,1992-12-05 02:40:00,-29.4667,149.8500,4.2,
449,1992-12-05 03:30:00,-29.7667,151.1167,5.5,
450,1992-12-06 03:45:00,-30.5833,153.0000,2.0,
451,1992-12-07 04:20:00,-32.0167,151.0000,4.2,
452,1992-12-08 01:50:00,-30.9334,151.1167,2.0,
453,1992-12-08 04:30:00,-28.6833,153.3167,7.0,
454,1992-12-08 05:30:00,-29.7667,151.1167,4.2,
455,1992-12-08 06:00:00,-28.7833,153.3500,2.7,
456,1992-12-13 06:00:00,-32.3667,149.9500,3.0,
457,1992-12-13 06:30:00,-32.2333,150.3167,3.5,
458,1992-12-14 03:20:00,-33.3500,151.5000,4.2,
459,1992-12-14 05:05:00,-30.3000,151.0833,3.5,
460,1992-12-14 07:05:00,-30.8167,150.8333,4.0,
461,1992-12-14 11:00:00,-29.5333,151.5000,4.4,
462,1993-01-05 06:10:00,-31.0833,150.9334,5.5,
463,1993-01-06 03:00:00,-34.5500,150.3833,6.0,
464,1993-01-06 04:00:00,-34.4333,150.8834,2.0,
465,1993-01-06 07:00:00,-33.8667,150.8333,2.0,
466,1993-01-08 07:15:00,-29.6833,152.9334,6.0,
467,1993-01-13 07:05:00,-30.9834,150.8834,5.5,
468,1993-01-23 05:20:00,-30.8167,152.5167,4.2,
469,1993-01-24 10:00:00,-31.9667,141.4500,4.0,
470,1993-01-25 00:00:00,-30.8500,143.0833,4.0,
471,1993-01-27 08:15:00,-32.4000,151.9667,4.0,
472,1993-01-28 07:00:00,-30.2500,151.8167,2.0,
473,1993-02-05 08:30:00,-30.8167,150.8333,5.0,
474,1993-02-12 03:25:00,-32.2333,150.3167,3.0,
475,1993-02-17 04:40:00,-31.3500,149.8333,4.2,
476,1993-02-26 04:40:00,-31.3333,149.3333,3.0,
477,1993-03-06 08:00:00,-36.4167,148.6167,2.0,
478,1993-03-07 07:50:00,-33.8834,150.7333,2.5,
479,1993-03-09 04:15:00,-30.9834,151.5833,2.5,
480,1993-03-09 04:20:00,-30.0667,151.5167,2.0,
481,1993-03-09 06:30:00,-31.2167,152.8333,4.2,
482,1993-03-24 09:30:00,-33.4833,150.1667,2.5,
483,1993-03-25 03:00:00,-34.7500,149.7167,0.0,
484,1993-03-26 06:00:00,-33.6667,150.8834,3.0,
485,1993-03-26 07:00:00,-33.6500,150.8333,2.0,
486,1993-03-28 05:00:00,-35.1000,150.8000,3.0,
487,1993-04-05 07:00:00,-35.2833,149.2167,0.0,
488,1993-10-18 06:50:00,-31.5000,150.6667,6.0,
489,1993-10-18 07:00:00,-31.6667,150.3333,6.0,
490,1993-10-25 02:20:00,-33.3333,151.5000,5.0,
491,1993-10-25 04:30:00,-33.4667,151.4167,6.0,
492,1993-10-25 05:30:00,-29.6667,151.1667,3.0,
493,1993-10-25 06:00:00,-30.8167,150.8333,6.0,
494,1993-10-25 06:20:00,-29.7667,151.1167,8.5,
495,1993-10-25 07:00:00,-31.5000,150.6667,3.0,
496,1993-10-25 07:00:00,-31.0833,150.9334,4.0,
497,1993-10-25 07:40:00,-30.9334,151.1167,6.0,
498,1993-10-25 09:00:00,-30.5167,151.6667,3.0,
499,1993-10-25 09:15:00,-30.6500,151.5300,4.0,
500,1993-10-29 01:20:00,-30.3000,153.1333,4.5,
501,1993-11-02 06:15:00,-32.2333,150.3167,2.0,
502,1993-11-02 06:30:00,-32.2500,150.5200,3.0,
503,1993-11-02 07:20:00,-31.3333,149.3333,3.0,
504,1993-11-02 07:25:00,-30.9834,150.3333,3.0,
505,1993-11-02 07:30:00,-31.5300,150.8300,2.0,
506,1993-11-09 02:10:00,-31.1667,151.3333,2.2,
507,1993-11-09 03:55:00,-28.5833,153.5833,3.0,
508,1993-11-13 08:00:00,-35.3333,149.2500,2.0,
509,1993-11-14 07:18:00,-30.1600,151.8800,5.0,
510,1993-11-14 09:00:00,-29.6667,151.6667,5.0,
511,1993-11-17 05:30:00,-35.4167,145.6667,2.0,
512,1993-11-19 07:00:00,-33.6667,151.0000,2.0,
513,1993-11-20 06:00:00,-30.6500,151.5000,6.3,
514,1993-11-24 06:45:00,-34.1667,150.6667,4.0,
515,1993-12-02 06:30:00,-31.1667,150.9834,2.0,
516,1993-12-04 01:10:00,-34.3333,150.8333,2.0,
517,1993-12-04 05:30:00,-32.6667,151.5833,4.0,
518,1993-12-13 08:00:00,-34.8334,147.5833,4.2,
519,1993-12-26 02:50:00,-34.5833,150.4167,2.0,
520,1993-12-26 03:15:00,-34.5000,150.5000,4.5,
521,1993-12-26 07:00:00,-33.3333,151.5000,3.0,
522,1993-12-26 07:30:00,-33.3333,151.4500,4.2,
523,1994-01-16 14:44:00,-33.7600,150.6567,4.0,
524,1994-01-17 05:00:00,-34.0833,150.6667,2.0,
525,1994-01-17 05:40:00,-33.8667,151.2000,4.2,
526,1994-01-17 05:50:00,-34.0833,151.0833,2.7,
527,1994-01-17 08:30:00,-32.5333,149.5333,2.0,
528,1994-01-17 14:30:00,-33.5833,150.5000,2.7,
529,1994-01-17 15:55:00,-33.8667,151.2000,5.5,
530,1994-01-19 05:15:00,-32.4167,150.8333,3.5,
531,1994-01-20 06:05:00,-32.8334,151.5000,5.5,
532,1994-01-30 06:10:00,-35.7167,149.7500,5.5,
533,1994-02-01 07:05:00,-33.5000,151.0000,2.5,
534,1994-02-07 03:30:00,-33.6000,150.4167,2.0,
535,1994-02-07 05:15:00,-33.5833,150.5000,2.0,
536,1994-02-25 05:00:00,-30.4167,151.5833,3.0,
537,1994-04-12 03:50:00,-33.8667,151.2000,2.0,
538,1994-05-03 03:10:00,-33.1944,149.0083,3.0,
539,1994-09-09 23:00:00,-33.8300,151.2200,4.0,
540,1994-09-13 03:30:00,-30.6500,151.6683,2.5,
541,1994-09-13 07:15:00,-35.6200,150.3800,3.0,
542,1994-09-13 07:15:00,-31.0300,151.1700,2.5,
543,1994-10-02 06:20:00,-29.7783,151.0833,2.0,
544,1994-10-02 09:45:00,-30.1583,151.6778,2.0,
545,1994-10-13 05:00:00,-31.6330,152.8500,2.5,
546,1994-10-13 05:35:00,-28.8556,153.5689,2.5,
547,1994-10-13 13:20:00,-30.5830,153.0830,2.0,
548,1994-10-20 02:45:00,-30.5830,152.9830,2.2,
549,1994-10-20 03:30:00,-31.0569,152.8319,7.0,
550,1994-10-20 04:10:00,-34.0628,150.8642,4.2,
551,1994-10-20 04:45:00,-31.0569,152.8319,3.0,
552,1994-10-20 05:00:00,-30.3439,152.7128,2.0,
553,1994-11-13 07:20:00,-30.9333,151.7167,3.0,
554,1994-11-20 01:00:00,-33.3222,147.8650,6.3,
555,1994-11-20 03:00:00,-35.3300,148.5800,4.0,
556,1994-11-20 06:50:00,-33.5800,151.3800,3.0,
557,1994-11-25 04:30:00,-33.1700,147.2800,5.0,
558,1994-11-28 08:08:00,-35.2450,147.3389,3.0,
559,1994-12-23 03:00:00,-34.6200,150.0300,2.0,
560,1994-12-24 04:45:00,-30.5200,151.6700,4.4,
561,1995-01-01 05:30:00,-33.7200,150.7800,2.0,
562,1995-01-06 04:00:00,-33.8700,151.1700,4.4,
563,1995-01-28 05:30:00,-31.6800,145.4800,7.5,
564,1995-01-29 05:22:00,-30.4300,152.7800,4.0,
565,1995-02-01 04:00:00,-32.4100,147.5500,4.0,
566,1995-02-01 06:15:00,-30.5200,151.6700,5.0,
567,1995-02-10 05:05:00,-34.4600,149.7300,4.4,
568,1995-02-22 06:00:00,-35.0400,147.1900,2.0,
569,1995-02-22 08:00:00,-36.4400,148.3300,4.4,
570,1995-03-19 03:45:00,-33.8700,151.2200,5.0,
571,1995-03-19 04:50:00,-30.1000,153.1000,7.0,
572,1995-03-19 05:50:00,-29.4500,153.2200,7.0,
573,1995-03-19 07:40:00,-29.4500,153.2200,4.0,
574,1995-03-26 08:00:00,-29.7800,151.1100,5.0,
575,1995-05-13 10:15:00,-33.7200,149.7800,7.0,
576,1995-05-25 10:45:00,-30.7400,151.5300,2.5,
577,1995-06-28 22:50:00,-30.7400,151.5300,2.0,
578,1995-10-01 05:00:00,-29.6800,152.9300,3.0,
579,1995-10-01 05:50:00,-29.4000,153.3000,2.0,
580,1995-10-22 08:00:00,-33.4300,151.3400,4.0,
581,1995-10-22 08:45:00,-33.4300,151.3400,5.0,
582,1995-10-28 06:00:00,-34.0000,150.6000,6.3,
583,1995-10-28 06:00:00,-34.0000,150.7000,8.0,
584,1995-10-28 07:15:00,-33.8000,151.0000,4.5,
585,1995-10-30 06:00:00,-31.4600,152.7300,4.2,
586,1995-10-30 06:10:00,-31.1900,152.9800,3.5,
587,1995-11-03 06:45:00,-28.8600,153.5700,2.9,
588,1995-11-05 10:19:00,-33.9200,150.6000,4.2,
589,1995-11-06 00:15:00,-30.8800,153.0300,4.2,
